Publication_ID,Method_ID,RCM_GCM,Em_Scen_as recorded,Emission Scenarios,Dsc_as_recorded,Reference Time Period_START,ReferencePeriod_End,FutPer_Start,FutPer_end,Future Time Periods,Hmod_as_recorded,Hydrologic Model,,
127,127.02,GCM,A2,A2,"Delta method, linear interpolation
",1961,1990,2040,2069,MIDCENT,WATFLOOD,WATFLOOD,,
127,127.03,GCM,B2,B2,"Delta method, linear interpolation
",1961,1990,2040,2069,MIDCENT,WATFLOOD,WATFLOOD,,
127,127.04,GCM,A2,A2,"Delta method, linear interpolation
",1961,1990,2040,2069,MIDCENT,WATFLOOD,WATFLOOD,,
127,127.05,GCM,B2,B2,"Delta method, linear interpolation
",1961,1990,2040,2069,MIDCENT,WATFLOOD,WATFLOOD,,
127,127.06,GCM,A2,A2,"Delta method, linear interpolation
",1961,1990,2070,2099,FARFUT,WATFLOOD,WATFLOOD,,
127,127.07,GCM,B2,B2,"Delta method, linear interpolation
",1961,1990,2070,2099,FARFUT,WATFLOOD,WATFLOOD,,
127,127.08,GCM,A2,A2,"Delta method, linear interpolation
",1961,1990,2070,2099,FARFUT,WATFLOOD,WATFLOOD,,
127,127.09,GCM,B2,B2,"Delta method, linear interpolation
",1961,1990,2070,2099,FARFUT,WATFLOOD,WATFLOOD,,
132,132.01,NA,NA,NA,NA,1961,1990,1961,1990,HIST,SWAT,SWAT,,
132,132.02,RCM,A2,A2,LARS-WG,1961,1990,2041,2070,MIDCENT,SWAT,SWAT,,
43,43.01,GCM,RCP 4.5,RCP 4.5,"Bias-correction/Climate Imprint (BCCI)
Bias-Correction/Spatial Disaggregation",1990s,,2050s,,MIDCENT,VIC,VIC,,
43,43.02,GCM,RCP 4.5,RCP 4.5,"Bias-correction/Climate Imprint (BCCI)
Bias-Correction/Spatial Disaggregation",1990s,,2080s,,FARFUT,VIC,VIC,,
43,43.03,GCM,RCP 8.5,RCP 8.5,"Bias-correction/Climate Imprint (BCCI)
Bias-Correction/Spatial Disaggregation",1990s,,2050s,,MIDCENT,VIC,VIC,,
43,43.04,GCM,RCP 8.5,RCP 8.5,"Bias-correction/Climate Imprint (BCCI)
Bias-Correction/Spatial Disaggregation",1990s,,2080s,,FARFUT,VIC,VIC,,
119,119.01,RCM,IS92a GHG+A,IS92a,Regional CC scenario models,1951,2004,2010,2039,NEARFUT,WaSim-ETH,WaSim,,
119,119.02,RCM,IS92a GHG+A,IS92a,Regional CC scenario models,1951,2004,2040,2069,MIDCENT,WaSim-ETH,WaSim,,
119,119.03,RCM,IS92a GHG+A,IS92a,Regional CC scenario models,1951,2004,2070,2099,FARFUT,WaSim-ETH,WaSim,,
119,119.04,RCM,SRES A2,A2,Regional CC scenario models,1951,2004,2010,2039,NEARFUT,WaSim-ETH,WaSim,,
119,119.05,RCM,SRES A2,A2,Regional CC scenario models,1951,2004,2040,2069,MIDCENT,WaSim-ETH,WaSim,,
119,119.06,RCM,SRES A2,A2,Regional CC scenario models,1951,2004,2070,2099,FARFUT,WaSim-ETH,WaSim,,
120,120.01,GCM,"A1B
A2",MULT,SDSM,1961,2000,2041,2100,MULT,HBV,HBV,,
158,158.01,RCM,RCP 4.5,RCP 4.5,RCM,1983,2013,2021,2060,NEARMID,SWAT,SWAT,,
158,158.02,RCM,RCP 4.5,RCP 4.5,RCM,1983,2013,2061,2100,FARFUT,SWAT,SWAT,,
158,158.03,RCM,RCP 8.5,RCP 8.5,RCM,1983,2013,2021,2060,NEARMID,SWAT,SWAT,,
158,158.04,RCM,RCP 8.5,RCP 8.5,RCM,1983,2013,2061,2100,FARFUT,SWAT,SWAT,,
162,162.01,NA,NA,NA,NA,1980,2000,1980,2000,HIST,SWAT,SWAT,,
162,162.02,RCM,A2,A2,Delta method,1980,2000,2042,2062,MIDCENT,SWAT,SWAT,,
162,162.03,RCM,A2,A2,Delta method,1980,2000,2042,2062,MIDCENT,SWAT,SWAT,,
162,162.04,RCM,A2,A2,Delta method,1980,2000,2042,2062,MIDCENT,SWAT,SWAT,,
162,162.05,RCM,A2,A2,Bias-correction,1980,2000,2042,2062,MIDCENT,SWAT,SWAT,,
162,162.06,RCM,A2,A2,Bias-correction,1980,2000,2042,2062,MIDCENT,SWAT,SWAT,,
162,162.07,RCM,A2,A2,Bias-correction,1980,2000,2042,2062,MIDCENT,SWAT,SWAT,,
83,83.01,GCM,A2,A2,Statistical HMLR,1961,2000,2046,2065,MIDCENT,HELP3,HELP,,
83,83.02,RCM,A2,A2,Dynamical,1961,2000,2046,2065,MIDCENT,HELP3,HELP,,
83,83.03,RCM,A2,A2,Dynamical,1961,2000,2046,2065,MIDCENT,HELP3,HELP,,
83,83.06,GCM,A1B  ,A1B  ,Statistical Daily translation,1961,2000,2046,2065,MIDCENT,HELP3,HELP,,
8,8.01,NA,NA,NA,NA,1984,2003,1984,2003,HIST,"Modified Thornthwaite Water Budget Model
(MIKE 11/NAM for runoff modeling)
",MIKE,,
8,8.02,GCM,RCP 4.5,RCP 4.5,"Delta method and 
ClimGen",1984,2003,2010,2039,NEARFUT,"Modified Thornthwaite Water Budget Model
(MIKE 11/NAM for runoff modeling)
",MIKE,,
8,8.03,GCM,RCP 4.5,RCP 4.5,"Delta method and 
ClimGen",1984,2003,2040,2069,MIDCENT,"Modified Thornthwaite Water Budget Model
(MIKE 11/NAM for runoff modeling)
",MIKE,,
8,8.04,GCM,RCP 4.5,RCP 4.5,"Delta method and 
ClimGen",1984,2003,2070,2099,FARFUT,"Modified Thornthwaite Water Budget Model
(MIKE 11/NAM for runoff modeling)
",MIKE,,
26,26.01,NA,NA,NA,NA,1971,2000,1971,2000,HIST,SLURP,SLURP,,
26,26.02,GCM,A2,A2,Delta method,1971,2000,2041,2070,MIDCENT,SLURP,SLURP,,
26,26.03,GCM,A2,A2,Delta method,1971,2000,2071,2099,FARFUT,SLURP,SLURP,,
26,26.04,GCM,A2,A2,"Delta method
",1971,2000,2041,2070,MIDCENT,SLURP,SLURP,,
26,26.05,GCM,A2,A2,"Delta method
",1971,2000,2071,2099,FARFUT,SLURP,SLURP,,
26,26.06,GCM,B2,B2,Delta method,1971,2000,2041,2070,MIDCENT,SLURP,SLURP,,
26,26.07,GCM,B2,B2,Delta method,1971,2000,2071,2099,FARFUT,SLURP,SLURP,,
26,26.08,GCM,B2,B2,Delta method,1971,2000,2041,2070,MIDCENT,SLURP,SLURP,,
26,26.09,GCM,B2,B2,Delta method,1971,2000,2071,2099,FARFUT,SLURP,SLURP,,
26,26.1,GCM,A2,A2,"Modified delta method (modified SD and mean by transforming daily data)
",1971,2000,2041,2070,MIDCENT,SLURP,SLURP,,
26,26.11,GCM,A2,A2,"Modified delta method (modified SD and mean by transforming daily data)
",1971,2000,2071,2099,FARFUT,SLURP,SLURP,,
25,25.01,NA,NA,NA,NA,1971,2000,1971,2000,HIST,SLURP,SLURP,,
25,25.02,GCM,A2,A2,SDSM   ,1971,2000,2081,2100,FARFUT,SLURP,SLURP,,
25,25.03,GCM,A2,A2,Delta method,1971,2000,2081,2100,FARFUT,SLURP,SLURP,,
25,25.04,GCM,A2,A2,Delta method,1971,2000,2081,2100,FARFUT,SLURP,SLURP,,
25,25.05,GCM,A1B,A1B,SDSM,1971,2000,2081,2100,FARFUT,SLURP,SLURP,,
25,25.06,GCM,B1,B1,SDSM,1971,2000,2081,2100,FARFUT,SLURP,SLURP,,
24,24.01,GCM,A1B,A1B,SDSM,1971,2000,2046,2065,MIDCENT,SLURP,SLURP,,
24,24.02,GCM,A1B,A1B,LARS-WG,1971,2000,2046,2065,MIDCENT,SLURP,SLURP,,
24,24.03,GCM,A1B,A1B,NNR,1971,2000,2046,2065,MIDCENT,SLURP,SLURP,,
24,24.04,GCM,A2,A2,SDSM,1971,2000,2046,2065,MIDCENT,SLURP,SLURP,,
24,24.05,GCM,A2,A2,LARS-WG,1971,2000,2046,2065,MIDCENT,SLURP,SLURP,,
24,24.06,GCM,A2,A2,NNR,1971,2000,2046,2065,MIDCENT,SLURP,SLURP,,
24,24.07,GCM,B1,B1,SDSM,1971,2000,2046,2065,MIDCENT,SLURP,SLURP,,
24,24.08,GCM,B1,B1,LARS-WG,1971,2000,2046,2065,MIDCENT,SLURP,SLURP,,
24,24.09,GCM,B1,B1,NNR,1971,2000,2046,2065,MIDCENT,SLURP,SLURP,,
47,47.01,GCM,A1F1,A1F1,Delta method,1961,1990,2020s,,NEARFUT,MIKE SHE/MIKE 11,MIKE,,
47,47.02,GCM,B2(3),B2,Delta method,1961,1990,2020s,,NEARFUT,MIKE SHE/MIKE 11,MIKE,,
47,47.03,GCM,A1B,A1B,Delta method,1961,1990,2020s,,NEARFUT,MIKE SHE/MIKE 11,MIKE,,
47,47.04,GCM,A2,A2,Delta method,1961,1990,2020s,,NEARFUT,MIKE SHE/MIKE 11,MIKE,,
47,47.05,GCM,B2(b),B2,Delta method,1961,1990,2020s,,NEARFUT,MIKE SHE/MIKE 11,MIKE,,
47,47.06,GCM,"A1F1
B2(3)
A1B
A2
B2(b)",MULT,Delta method,1961,1990,2020s,,NEARFUT,MIKE SHE/MIKE 11,MIKE,,
47,47.07,GCM,A1F1,A1F1,Delta method,1961,1990,2050s,,MIDCENT,MIKE SHE/MIKE 11,MIKE,,
47,47.08,GCM,B2,B2,Delta method,1961,1990,2050s,,MIDCENT,MIKE SHE/MIKE 11,MIKE,,
47,47.09,GCM,A1B,A1B,Delta method,1961,1990,2050s,,MIDCENT,MIKE SHE/MIKE 11,MIKE,,
47,47.1,GCM,A2,A2,Delta method,1961,1990,2050s,,MIDCENT,MIKE SHE/MIKE 11,MIKE,,
47,47.11,GCM,B2,B2,Delta method,1961,1990,2050s,,MIDCENT,MIKE SHE/MIKE 11,MIKE,,
47,47.12,GCM,"A1F1
B2(3)
A1B
A2
B2(b)",MULT,Delta method,1961,1990,2050s,,MIDCENT,MIKE SHE/MIKE 11,MIKE,,
56,56.01,NA,NA,NA,NA,1985,2014,1985,2014,HIST,SWATDRAIN,SWAT,,
56,56.02,GCM,A2,A2,SDSM,1985,2014,1985,2014,HIST,SWATDRAIN,SWAT,,
3,3.01,GCM,A2,A2,TreeGen,1961,1990,2010,2039,NEARFUT,HELP ,HELP,,
3,3.02,GCM,A2,A2,TreeGen,1961,1990,2010,2039,NEARFUT,HELP ,HELP,,
3,3.03,GCM,A2,A2,TreeGen,1961,1990,2010,2039,NEARFUT,HELP ,HELP,,
3,3.04,GCM,A2,A2,TreeGen,1961,1990,2010,2039,NEARFUT,HELP ,HELP,,
3,3.05,GCM,A2,A2,TreeGen,1961,1990,2040,2069,MIDCENT,HELP ,HELP,,
3,3.06,GCM,A2,A2,TreeGen,1961,1990,2040,2069,MIDCENT,HELP ,HELP,,
3,3.07,GCM,A2,A2,TreeGen,1961,1990,2040,2069,MIDCENT,HELP ,HELP,,
3,3.08,GCM,A2,A2,TreeGen,1961,1990,2040,2069,MIDCENT,HELP ,HELP,,
3,3.09,GCM,A2,A2,TreeGen,1961,1990,2070,2099,FARFUT,HELP ,HELP,,
3,3.1,GCM,A2,A2,TreeGen,1961,1990,2070,2099,FARFUT,HELP ,HELP,,
3,3.11,GCM,A2,A2,TreeGen,1961,1990,2070,2099,FARFUT,HELP ,HELP,,
3,3.12,GCM,A2,A2,TreeGen,1961,1990,2070,2099,FARFUT,HELP ,HELP,,
39,39.01,GCM,IS92a   ,IS92a   ,SDSM,1961,2000,2010,2039,NEARFUT,HBV-96,HBV,,
39,39.02,GCM,IS92a   ,IS92a   ,SDSM,1961,2000,2040,2069,MIDCENT,HBV-96,HBV,,
39,39.03,GCM,IS92a   ,IS92a   ,SDSM,1961,2000,2070,2099,FARFUT,HBV-96,HBV,,
39,39.04,GCM,IS92a   ,IS92a   ,LARS-WG,1961,2000,2010,2039,NEARFUT,HBV-96,HBV,,
39,39.05,GCM,IS92a   ,IS92a   ,LARS-WG,1961,2000,2040,2069,MIDCENT,HBV-96,HBV,,
39,39.06,GCM,IS92a   ,IS92a   ,LARS-WG,1961,2000,2070,2099,FARFUT,HBV-96,HBV,,
39,39.07,GCM,IS92a   ,IS92a   ,SDSM,1961,2000,2010,2039,NEARFUT,CEQUEAU,CEQUEAU,,
39,39.08,GCM,IS92a   ,IS92a   ,SDSM,1961,2000,2040,2069,MIDCENT,CEQUEAU,CEQUEAU,,
39,39.09,GCM,IS92a   ,IS92a   ,SDSM,1961,2000,2070,2099,FARFUT,CEQUEAU,CEQUEAU,,
39,39.1,GCM,IS92a   ,IS92a   ,LARS-WG,1961,2000,2010,2039,NEARFUT,CEQUEAU,CEQUEAU,,
39,39.11,GCM,IS92a   ,IS92a   ,LARS-WG,1961,2000,2040,2069,MIDCENT,CEQUEAU,CEQUEAU,,
39,39.12,GCM,IS92a   ,IS92a   ,LARS-WG,1961,2000,2070,2099,FARFUT,CEQUEAU,CEQUEAU,,
116,116.01,RCM,RCP 4.5,RCP 4.5,Quantile-quantile mapping,1981,2010,2011,2040,NEARFUT,SWAT,SWAT,,
116,116.02,RCM,RCP 8.5,RCP 8.5,Quantile-quantile mapping,1981,2010,2011,2040,NEARFUT,SWAT,SWAT,,
116,116.03,RCM,RCP 4.5,RCP 4.5,Quantile-quantile mapping,1981,2010,2041,2070,MIDCENT,SWAT,SWAT,,
116,116.04,RCM,RCP 8.5,RCP 8.5,Quantile-quantile mapping,1981,2010,2041,2070,MIDCENT,SWAT,SWAT,,
114,114,NA,NA,NA,NA,1988,2017,1988,2017,HIST,SWAT,SWAT,,
114,114.01,RCM,RCP 4.5,RCP 4.5,Quantile-quantile mapping,1988,2017,2011,2040,NEARFUT,"SWAT (modified to better represent Prairie pothole region)
",SWAT,,
114,114.02,RCM,RCP 8.5,RCP 8.5,Quantile-quantile mapping,1988,2017,2011,2040,NEARFUT,"SWAT (modified to better represent Prairie pothole region)
",SWAT,,
114,114.03,RCM,RCP 4.5,RCP 4.5,Quantile-quantile mapping,1988,2017,2011,2040,NEARFUT,"SWAT (modified to better represent Prairie pothole region)
",SWAT,,
114,114.04,RCM,RCP 8.5,RCP 8.5,Quantile-quantile mapping,1988,2017,2011,2040,NEARFUT,"SWAT (modified to better represent Prairie pothole region)
",SWAT,,
114,114.05,RCM,RCP 4.5,RCP 4.5,Quantile-quantile mapping,1988,2017,2041,2070,MIDCENT,"SWAT (modified to better represent Prairie pothole region)
",SWAT,,
114,114.06,RCM,RCP 8.5,RCP 8.5,Quantile-quantile mapping,1988,2017,2041,2070,MIDCENT,"SWAT (modified to better represent Prairie pothole region)
",SWAT,,
114,114.07,RCM,RCP 4.5,RCP 4.5,Quantile-quantile mapping,1988,2017,2041,2070,MIDCENT,"SWAT (modified to better represent Prairie pothole region)
",SWAT,,
114,114.08,RCM,RCP 8.5,RCP 8.5,Quantile-quantile mapping,1988,2017,2041,2070,MIDCENT,"SWAT (modified to better represent Prairie pothole region)
",SWAT,,
114,114.09,RCM,RCP 4.5,RCP 4.5,Quantile-quantile mapping,1988,2017,2011,2070,MULT,"SWAT (modified to better represent Prairie pothole region)
",SWAT,,
114,114.1,RCM,RCP 8.5,RCP 8.5,Quantile-quantile mapping,1988,2017,2011,2070,MULT,"SWAT (modified to better represent Prairie pothole region)
",SWAT,,
114,114.11,RCM,RCP 4.5,RCP 4.5,Quantile-quantile mapping,1988,2017,2011,2070,MULT,"SWAT (modified to better represent Prairie pothole region)
",SWAT,,
114,114.12,RCM,RCP 8.5,RCP 8.5,Quantile-quantile mapping,1988,2017,2011,2070,MULT,"SWAT (modified to better represent Prairie pothole region)
",SWAT,,
121,121,NA,NA,NA,NA,1970,2001,1970,2001,HIST,HELP,HELP,,
121,121.01,GCM,A2,A2,Not stated,1970,2001,2040,2069,MIDCENT,HELP,HELP,,
121,121.02,GCM,B2,B2,Not stated,1970,2001,2040,2069,MIDCENT,HELP,HELP,,
121,121.03,GCM,A2,A2,Not stated,1970,2001,2040,2069,MIDCENT,HELP,HELP,,
121,121.04,GCM,B2,B2,Not stated,1970,2001,2040,2060,MIDCENT,HELP,HELP,,
123,123.01,GCM,RCP 2.6,RCP 2.6,BCSD,1997,2005,2031,2040,NEARFUT,SWAT,SWAT,,
123,123.02,GCM,RCP 2.6,RCP 2.6,BCSD,1997,2005,2031,2040,NEARFUT,SWAT,SWAT,,
123,123.03,GCM,RCP 2.6,RCP 2.6,BCSD,1997,2005,2031,2040,NEARFUT,SWAT,SWAT,,
123,123.04,GCM,RCP 2.6,RCP 2.6,BCSD,1997,2005,2031,2040,NEARFUT,SWAT,SWAT,,
123,123.05,GCM,RCP 2.6,RCP 2.6,BCSD,1997,2005,2031,2040,NEARFUT,SWAT,SWAT,,
123,123.06,GCM,RCP 2.6,RCP 2.6,BCSD,1997,2005,2031,2040,NEARFUT,SWAT,SWAT,,
123,123.07,GCM,RCP 4.5,RCP 4.5,BCSD,1997,2005,2031,2040,NEARFUT,SWAT,SWAT,,
123,123.08,GCM,RCP 4.5,RCP 4.5,BCSD,1997,2005,2031,2040,NEARFUT,SWAT,SWAT,,
123,123.09,GCM,RCP 4.5,RCP 4.5,BCSD,1997,2005,2031,2040,NEARFUT,SWAT,SWAT,,
123,123.1,GCM,RCP 4.5,RCP 4.5,BCSD,1997,2005,2031,2040,NEARFUT,SWAT,SWAT,,
123,123.11,GCM,RCP 4.5,RCP 4.5,BCSD,1997,2005,2031,2040,NEARFUT,SWAT,SWAT,,
123,123.12,GCM,RCP 4.5,RCP 4.5,BCSD,1997,2005,2031,2040,NEARFUT,SWAT,SWAT,,
123,123.13,GCM,RCP 8.5,RCP 8.5,BCSD,1997,2005,2031,2040,NEARFUT,SWAT,SWAT,,
123,123.14,GCM,RCP 8.5,RCP 8.5,BCSD,1997,2005,2031,2040,NEARFUT,SWAT,SWAT,,
123,123.15,GCM,RCP 8.5,RCP 8.5,BCSD,1997,2005,2031,2040,NEARFUT,SWAT,SWAT,,
123,123.16,GCM,RCP 8.5,RCP 8.5,BCSD,1997,2005,2031,2040,NEARFUT,SWAT,SWAT,,
123,123.17,GCM,RCP 8.5,RCP 8.5,BCSD,1997,2005,2031,2040,NEARFUT,SWAT,SWAT,,
123,123.18,GCM,RCP 8.5,RCP 8.5,BCSD,1997,2005,2031,2040,NEARFUT,SWAT,SWAT,,
123,123.19,GCM,RCP 2.6,RCP 2.6,BCSD,1997,2005,2041,2050,MIDCENT,SWAT,SWAT,,
123,123.2,GCM,RCP 2.6,RCP 2.6,BCSD,1997,2005,2041,2050,MIDCENT,SWAT,SWAT,,
123,123.21,GCM,RCP 2.6,RCP 2.6,BCSD,1997,2005,2041,2050,MIDCENT,SWAT,SWAT,,
123,123.22,GCM,RCP 2.6,RCP 2.6,BCSD,1997,2005,2041,2050,MIDCENT,SWAT,SWAT,,
123,123.23,GCM,RCP 2.6,RCP 2.6,BCSD,1997,2005,2041,2050,MIDCENT,SWAT,SWAT,,
123,123.24,GCM,RCP 2.6,RCP 2.6,BCSD,1997,2005,2041,2050,MIDCENT,SWAT,SWAT,,
123,123.25,GCM,RCP 4.5,RCP 4.5,BCSD,1997,2005,2041,2050,MIDCENT,SWAT,SWAT,,
123,123.26,GCM,RCP 4.5,RCP 4.5,BCSD,1997,2005,2041,2050,MIDCENT,SWAT,SWAT,,
123,123.27,GCM,RCP 4.5,RCP 4.5,BCSD,1997,2005,2041,2050,MIDCENT,SWAT,SWAT,,
123,123.28,GCM,RCP 4.5,RCP 4.5,BCSD,1997,2005,2041,2050,MIDCENT,SWAT,SWAT,,
123,123.29,GCM,RCP 4.5,RCP 4.5,BCSD,1997,2005,2041,2050,MIDCENT,SWAT,SWAT,,
123,123.3,GCM,RCP 4.5,RCP 4.5,BCSD,1997,2005,2041,2050,MIDCENT,SWAT,SWAT,,
123,123.31,GCM,RCP 8.5,RCP 8.5,BCSD,1997,2005,2041,2050,MIDCENT,SWAT,SWAT,,
123,123.32,GCM,RCP 8.5,RCP 8.5,BCSD,1997,2005,2041,2050,MIDCENT,SWAT,SWAT,,
123,123.33,GCM,RCP 8.5,RCP 8.5,BCSD,1997,2005,2041,2050,MIDCENT,SWAT,SWAT,,
123,123.34,GCM,RCP 8.5,RCP 8.5,BCSD,1997,2005,2041,2050,MIDCENT,SWAT,SWAT,,
123,123.35,GCM,RCP 8.5,RCP 8.5,BCSD,1997,2005,2041,2050,MIDCENT,SWAT,SWAT,,
123,123.36,GCM,RCP 8.5,RCP 8.5,BCSD,1997,2005,2041,2050,MIDCENT,SWAT,SWAT,,
123,123.37,GCM,RCP 2.6,RCP 2.6,BCSD,1997,2005,2051,2060,MIDCENT,SWAT,SWAT,,
123,123.38,GCM,RCP 2.6,RCP 2.6,BCSD,1997,2005,2051,2060,MIDCENT,SWAT,SWAT,,
123,123.39,GCM,RCP 2.6,RCP 2.6,BCSD,1997,2005,2051,2060,MIDCENT,SWAT,SWAT,,
123,123.4,GCM,RCP 2.6,RCP 2.6,BCSD,1997,2005,2051,2060,MIDCENT,SWAT,SWAT,,
123,123.41,GCM,RCP 2.6,RCP 2.6,BCSD,1997,2005,2051,2060,MIDCENT,SWAT,SWAT,,
123,123.42,GCM,RCP 2.6,RCP 2.6,BCSD,1997,2005,2051,2060,MIDCENT,SWAT,SWAT,,
123,123.43,GCM,RCP 4.5,RCP 4.5,BCSD,1997,2005,2051,2060,MIDCENT,SWAT,SWAT,,
123,123.44,GCM,RCP 4.5,RCP 4.5,BCSD,1997,2005,2051,2060,MIDCENT,SWAT,SWAT,,
123,123.45,GCM,RCP 4.5,RCP 4.5,BCSD,1997,2005,2051,2060,MIDCENT,SWAT,SWAT,,
123,123.46,GCM,RCP 4.5,RCP 4.5,BCSD,1997,2005,2051,2060,MIDCENT,SWAT,SWAT,,
123,123.47,GCM,RCP 4.5,RCP 4.5,BCSD,1997,2005,2051,2060,MIDCENT,SWAT,SWAT,,
123,123.48,GCM,RCP 4.5,RCP 4.5,BCSD,1997,2005,2051,2060,MIDCENT,SWAT,SWAT,,
123,123.49,GCM,RCP 8.5,RCP 8.5,BCSD,1997,2005,2051,2060,MIDCENT,SWAT,SWAT,,
123,123.5,GCM,RCP 8.5,RCP 8.5,BCSD,1997,2005,2051,2060,MIDCENT,SWAT,SWAT,,
123,123.51,GCM,RCP 8.5,RCP 8.5,BCSD,1997,2005,2051,2060,MIDCENT,SWAT,SWAT,,
123,123.52,GCM,RCP 8.5,RCP 8.5,BCSD,1997,2005,2051,2060,MIDCENT,SWAT,SWAT,,
123,123.53,GCM,RCP 8.5,RCP 8.5,BCSD,1997,2005,2051,2060,MIDCENT,SWAT,SWAT,,
123,123.54,GCM,RCP 8.5,RCP 8.5,BCSD,1997,2005,2051,2060,MIDCENT,SWAT,SWAT,,
123,123.55,GCM,RCP 2.6,RCP 2.6,BCSD,1997,2005,2031,2060,MIDCENT,SWAT,SWAT,,
123,123.56,GCM,RCP 4.5,RCP 4.5,BCSD,1997,2005,2031,2060,MIDCENT,SWAT,SWAT,,
123,123.57,GCM,RCP 8.5,RCP 8.5,BCSD,1997,2005,2031,2060,MIDCENT,SWAT,SWAT,,
199,199.01,RCM,RCP 4.5,RCP 4.5,Distribution mapping,1980,1993,2043,2053,MIDCENT,SWAT,SWAT,,
199,199.02,RCM,RCP 8.5,RCP 8.5,Distribution mapping,1980,1993,2043,2053,MIDCENT,SWAT,SWAT,,
199,199.03,RCM,RCP 4.5,RCP 4.5,Distribution mapping,1980,1993,2083,2093,FARFUT,SWAT,SWAT,,
199,199.04,RCM,RCP 8.5,RCP 8.5,Distribution mapping,1980,1993,2083,2093,FARFUT,SWAT,SWAT,,
41,41.01,GCM,"A2
B1
A1B",MULT,Delta method,1961,1990,2041,2070,MIDCENT,HSP-F,HSPF,,
169,169.01,RCM,A2,A2,Quantile scaling technique,1971,1995,2041,2065,MIDCENT,CATHY,CATHY,,
42,42.01,RCM,A2,A2,Quantile mapping and nearest neighbour search,1985,2010,2025,2050,NEARMID,SWAT,SWAT,,
106,106.01,NA,NA,NA,NA,1961,1990,1961,1990,HIST,UBC Watershed Model,UBCWat.,,
106,106.02,GCM,A2,A2,Delta method and a smoothing algorithm ,1961,1990,2010,2039,NEARFUT,UBC Watershed Model,UBCWat.,,
106,106.03,GCM,A2,A2,Delta method and a smoothing algorithm ,1961,1990,2040,2069,MIDCENT,UBC Watershed Model,UBCWat.,,
106,106.04,GCM,A2,A2,Delta method and a smoothing algorithm ,1961,1990,2070,2099,FARFUT,UBC Watershed Model,UBCWat.,,
106,106.05,GCM,B2,B2,Delta method and a smoothing algorithm ,1961,1990,2010,2039,NEARFUT,UBC Watershed Model,UBCWat.,,
106,106.06,GCM,B2,B2,Delta method and a smoothing algorithm ,1961,1990,2040,2069,MIDCENT,UBC Watershed Model,UBCWat.,,
106,106.07,GCM,B2,B2,Delta method and a smoothing algorithm ,1961,1990,2070,2099,FARFUT,UBC Watershed Model,UBCWat.,,
106,106.08,GCM,A2,A2,Delta method and a smoothing algorithm ,1961,1990,2010,2039,NEARFUT,UBC Watershed Model,UBCWat.,,
